Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Catavi - 115,1.369,2.12,19:30,2024-09-01,01:00:00
2024-09-01 02:00:00,Catavi - 115,1.297,2.12,19:30,2024-09-01,02:00:00
2024-09-01 03:00:00,Catavi - 115,1.238,2.12,19:30,2024-09-01,03:00:00
2024-09-01 04:00:00,Catavi - 115,1.224,2.12,19:30,2024-09-01,04:00:00
2024-09-01 05:00:00,Catavi - 115,1.271,2.12,19:30,2024-09-01,05:00:00
2024-09-01 06:00:00,Catavi - 115,1.312,2.12,19:30,2024-09-01,06:00:00
2024-09-01 07:00:00,Catavi - 115,1.267,2.12,19:30,2024-09-01,07:00:00
2024-09-01 08:00:00,Catavi - 115,1.239,2.12,19:30,2024-09-01,08:00:00
2024-09-01 09:00:00,Catavi - 115,1.278,2.12,19:30,2024-09-01,09:00:00
2024-09-01 10:00:00,Catavi - 115,1.253,2.12,19:30,2024-09-01,10:00:00
2024-09-01 11:00:00,Catavi - 115,1.223,2.12,19:30,2024-09-01,11:00:00
2024-09-01 12:00:00,Catavi - 115,1.234,2.12,19:30,2024-09-01,12:00:00
2024-09-01 13:00:00,Catavi - 115,1.219,2.12,19:30,2024-09-01,13:00:00
2024-09-01 14:00:00,Catavi - 115,1.218,2.12,19:30,2024-09-01,14:00:00
2024-09-01 15:00:00,Catavi - 115,1.22,2.12,19:30,2024-09-01,15:00:00
2024-09-01 16:00:00,Catavi - 115,1.287,2.12,19:30,2024-09-01,16:00:00
2024-09-01 17:00:00,Catavi - 115,1.376,2.12,19:30,2024-09-01,17:00:00
2024-09-01 18:00:00,Catavi - 115,1.409,2.12,19:30,2024-09-01,18:00:00
2024-09-01 19:00:00,Catavi - 115,1.828,2.12,19:30,2024-09-01,19:00:00
2024-09-01 20:00:00,Catavi - 115,2.104,2.12,19:30,2024-09-01,20:00:00
2024-09-01 21:00:00,Catavi - 115,1.971,2.12,19:30,2024-09-01,21:00:00
2024-09-01 22:00:00,Catavi - 115,1.791,2.12,19:30,2024-09-01,22:00:00
2024-09-01 23:00:00,Catavi - 115,1.6,2.12,19:30,2024-09-01,23:00:00
2024-09-02 00:00:00,Catavi - 115,1.398,2.12,19:30,2024-09-02,00:00:00
2024-09-02 01:00:00,Catavi - 115,1.284,2.273,20:00,2024-09-02,01:00:00
2024-09-02 02:00:00,Catavi - 115,1.219,2.273,20:00,2024-09-02,02:00:00
2024-09-02 03:00:00,Catavi - 115,1.193,2.273,20:00,2024-09-02,03:00:00
2024-09-02 04:00:00,Catavi - 115,1.158,2.273,20:00,2024-09-02,04:00:00
2024-09-02 05:00:00,Catavi - 115,1.168,2.273,20:00,2024-09-02,05:00:00
2024-09-02 06:00:00,Catavi - 115,1.237,2.273,20:00,2024-09-02,06:00:00
2024-09-02 07:00:00,Catavi - 115,1.319,2.273,20:00,2024-09-02,07:00:00
2024-09-02 08:00:00,Catavi - 115,1.518,2.273,20:00,2024-09-02,08:00:00
2024-09-02 09:00:00,Catavi - 115,1.449,2.273,20:00,2024-09-02,09:00:00
2024-09-02 10:00:00,Catavi - 115,1.435,2.273,20:00,2024-09-02,10:00:00
2024-09-02 11:00:00,Catavi - 115,1.478,2.273,20:00,2024-09-02,11:00:00
2024-09-02 12:00:00,Catavi - 115,1.463,2.273,20:00,2024-09-02,12:00:00
2024-09-02 13:00:00,Catavi - 115,1.418,2.273,20:00,2024-09-02,13:00:00
2024-09-02 14:00:00,Catavi - 115,1.448,2.273,20:00,2024-09-02,14:00:00
2024-09-02 15:00:00,Catavi - 115,1.439,2.273,20:00,2024-09-02,15:00:00
2024-09-02 16:00:00,Catavi - 115,1.446,2.273,20:00,2024-09-02,16:00:00
2024-09-02 17:00:00,Catavi - 115,1.528,2.273,20:00,2024-09-02,17:00:00
2024-09-02 18:00:00,Catavi - 115,1.564,2.273,20:00,2024-09-02,18:00:00
2024-09-02 19:00:00,Catavi - 115,1.924,2.273,20:00,2024-09-02,19:00:00
2024-09-02 20:00:00,Catavi - 115,2.26,2.273,20:00,2024-09-02,20:00:00
2024-09-02 21:00:00,Catavi - 115,2.189,2.273,20:00,2024-09-02,21:00:00
2024-09-02 22:00:00,Catavi - 115,1.957,2.273,20:00,2024-09-02,22:00:00
2024-09-02 23:00:00,Catavi - 115,1.688,2.273,20:00,2024-09-02,23:00:00
2024-09-03 00:00:00,Catavi - 115,1.442,2.273,20:00,2024-09-03,00:00:00
2024-09-03 01:00:00,Catavi - 115,1.301,2.215,20:00,2024-09-03,01:00:00
2024-09-03 02:00:00,Catavi - 115,1.246,2.215,20:00,2024-09-03,02:00:00
2024-09-03 03:00:00,Catavi - 115,1.17,2.215,20:00,2024-09-03,03:00:00
2024-09-03 04:00:00,Catavi - 115,1.165,2.215,20:00,2024-09-03,04:00:00
2024-09-03 05:00:00,Catavi - 115,1.224,2.215,20:00,2024-09-03,05:00:00
2024-09-03 06:00:00,Catavi - 115,1.295,2.215,20:00,2024-09-03,06:00:00
2024-09-03 07:00:00,Catavi - 115,1.342,2.215,20:00,2024-09-03,07:00:00
2024-09-03 08:00:00,Catavi - 115,1.462,2.215,20:00,2024-09-03,08:00:00
2024-09-03 09:00:00,Catavi - 115,1.504,2.215,20:00,2024-09-03,09:00:00
2024-09-03 10:00:00,Catavi - 115,1.292,2.215,20:00,2024-09-03,10:00:00
2024-09-03 11:00:00,Catavi - 115,1.268,2.215,20:00,2024-09-03,11:00:00
2024-09-03 12:00:00,Catavi - 115,1.262,2.215,20:00,2024-09-03,12:00:00
2024-09-03 13:00:00,Catavi - 115,1.233,2.215,20:00,2024-09-03,13:00:00
2024-09-03 14:00:00,Catavi - 115,1.263,2.215,20:00,2024-09-03,14:00:00
2024-09-03 15:00:00,Catavi - 115,1.278,2.215,20:00,2024-09-03,15:00:00
2024-09-03 16:00:00,Catavi - 115,1.335,2.215,20:00,2024-09-03,16:00:00
2024-09-03 17:00:00,Catavi - 115,1.375,2.215,20:00,2024-09-03,17:00:00
2024-09-03 18:00:00,Catavi - 115,1.396,2.215,20:00,2024-09-03,18:00:00
2024-09-03 19:00:00,Catavi - 115,1.811,2.215,20:00,2024-09-03,19:00:00
2024-09-03 20:00:00,Catavi - 115,2.189,2.215,20:00,2024-09-03,20:00:00
2024-09-03 21:00:00,Catavi - 115,2.143,2.215,20:00,2024-09-03,21:00:00
2024-09-03 22:00:00,Catavi - 115,1.955,2.215,20:00,2024-09-03,22:00:00
2024-09-03 23:00:00,Catavi - 115,1.644,2.215,20:00,2024-09-03,23:00:00
2024-09-04 00:00:00,Catavi - 115,1.369,2.215,20:00,2024-09-04,00:00:00
2024-09-04 01:00:00,Catavi - 115,1.241,2.341,19:30,2024-09-04,01:00:00
2024-09-04 02:00:00,Catavi - 115,1.177,2.341,19:30,2024-09-04,02:00:00
2024-09-04 03:00:00,Catavi - 115,1.154,2.341,19:30,2024-09-04,03:00:00
2024-09-04 04:00:00,Catavi - 115,1.13,2.341,19:30,2024-09-04,04:00:00
2024-09-04 05:00:00,Catavi - 115,1.162,2.341,19:30,2024-09-04,05:00:00
2024-09-04 06:00:00,Catavi - 115,1.285,2.341,19:30,2024-09-04,06:00:00
2024-09-04 07:00:00,Catavi - 115,1.362,2.341,19:30,2024-09-04,07:00:00
2024-09-04 08:00:00,Catavi - 115,1.562,2.341,19:30,2024-09-04,08:00:00
2024-09-04 09:00:00,Catavi - 115,1.611,2.341,19:30,2024-09-04,09:00:00
2024-09-04 10:00:00,Catavi - 115,1.667,2.341,19:30,2024-09-04,10:00:00
2024-09-04 11:00:00,Catavi - 115,1.621,2.341,19:30,2024-09-04,11:00:00
2024-09-04 12:00:00,Catavi - 115,1.609,2.341,19:30,2024-09-04,12:00:00
2024-09-04 13:00:00,Catavi - 115,1.474,2.341,19:30,2024-09-04,13:00:00
2024-09-04 14:00:00,Catavi - 115,1.426,2.341,19:30,2024-09-04,14:00:00
2024-09-04 15:00:00,Catavi - 115,1.45,2.341,19:30,2024-09-04,15:00:00
2024-09-04 16:00:00,Catavi - 115,1.404,2.341,19:30,2024-09-04,16:00:00
2024-09-04 17:00:00,Catavi - 115,1.423,2.341,19:30,2024-09-04,17:00:00
2024-09-04 18:00:00,Catavi - 115,1.498,2.341,19:30,2024-09-04,18:00:00
2024-09-04 19:00:00,Catavi - 115,1.94,2.341,19:30,2024-09-04,19:00:00
2024-09-04 20:00:00,Catavi - 115,2.28,2.341,19:30,2024-09-04,20:00:00
2024-09-04 21:00:00,Catavi - 115,2.189,2.341,19:30,2024-09-04,21:00:00
2024-09-04 22:00:00,Catavi - 115,1.994,2.341,19:30,2024-09-04,22:00:00
2024-09-04 23:00:00,Catavi - 115,1.674,2.341,19:30,2024-09-04,23:00:00
2024-09-05 00:00:00,Catavi - 115,1.406,2.341,19:30,2024-09-05,00:00:00
2024-09-05 01:00:00,Catavi - 115,1.292,2.354,19:45,2024-09-05,01:00:00
2024-09-05 02:00:00,Catavi - 115,1.205,2.354,19:45,2024-09-05,02:00:00
2024-09-05 03:00:00,Catavi - 115,1.172,2.354,19:45,2024-09-05,03:00:00
2024-09-05 04:00:00,Catavi - 115,1.189,2.354,19:45,2024-09-05,04:00:00
2024-09-05 05:00:00,Catavi - 115,1.192,2.354,19:45,2024-09-05,05:00:00
2024-09-05 06:00:00,Catavi - 115,1.329,2.354,19:45,2024-09-05,06:00:00
2024-09-05 07:00:00,Catavi - 115,1.364,2.354,19:45,2024-09-05,07:00:00
2024-09-05 08:00:00,Catavi - 115,1.491,2.354,19:45,2024-09-05,08:00:00
2024-09-05 09:00:00,Catavi - 115,1.578,2.354,19:45,2024-09-05,09:00:00
2024-09-05 10:00:00,Catavi - 115,1.701,2.354,19:45,2024-09-05,10:00:00
2024-09-05 11:00:00,Catavi - 115,1.786,2.354,19:45,2024-09-05,11:00:00
2024-09-05 12:00:00,Catavi - 115,1.831,2.354,19:45,2024-09-05,12:00:00
2024-09-05 13:00:00,Catavi - 115,1.586,2.354,19:45,2024-09-05,13:00:00
2024-09-05 14:00:00,Catavi - 115,1.598,2.354,19:45,2024-09-05,14:00:00
2024-09-05 15:00:00,Catavi - 115,1.513,2.354,19:45,2024-09-05,15:00:00
2024-09-05 16:00:00,Catavi - 115,1.519,2.354,19:45,2024-09-05,16:00:00
2024-09-05 17:00:00,Catavi - 115,1.513,2.354,19:45,2024-09-05,17:00:00
2024-09-05 18:00:00,Catavi - 115,1.514,2.354,19:45,2024-09-05,18:00:00
2024-09-05 19:00:00,Catavi - 115,1.894,2.354,19:45,2024-09-05,19:00:00
2024-09-05 20:00:00,Catavi - 115,2.3,2.354,19:45,2024-09-05,20:00:00
2024-09-05 21:00:00,Catavi - 115,2.284,2.354,19:45,2024-09-05,21:00:00
2024-09-05 22:00:00,Catavi - 115,2.051,2.354,19:45,2024-09-05,22:00:00
2024-09-05 23:00:00,Catavi - 115,1.717,2.354,19:45,2024-09-05,23:00:00
2024-09-06 00:00:00,Catavi - 115,1.407,2.354,19:45,2024-09-06,00:00:00
2024-09-06 01:00:00,Catavi - 115,1.354,2.309,20:00,2024-09-06,01:00:00
2024-09-06 02:00:00,Catavi - 115,1.295,2.309,20:00,2024-09-06,02:00:00
2024-09-06 03:00:00,Catavi - 115,1.251,2.309,20:00,2024-09-06,03:00:00
2024-09-06 04:00:00,Catavi - 115,1.207,2.309,20:00,2024-09-06,04:00:00
2024-09-06 05:00:00,Catavi - 115,1.252,2.309,20:00,2024-09-06,05:00:00
2024-09-06 06:00:00,Catavi - 115,1.456,2.309,20:00,2024-09-06,06:00:00
2024-09-06 07:00:00,Catavi - 115,1.525,2.309,20:00,2024-09-06,07:00:00
2024-09-06 08:00:00,Catavi - 115,1.672,2.309,20:00,2024-09-06,08:00:00
2024-09-06 09:00:00,Catavi - 115,1.684,2.309,20:00,2024-09-06,09:00:00
2024-09-06 10:00:00,Catavi - 115,1.876,2.309,20:00,2024-09-06,10:00:00
2024-09-06 11:00:00,Catavi - 115,1.925,2.309,20:00,2024-09-06,11:00:00
2024-09-06 12:00:00,Catavi - 115,1.962,2.309,20:00,2024-09-06,12:00:00
2024-09-06 13:00:00,Catavi - 115,1.796,2.309,20:00,2024-09-06,13:00:00
2024-09-06 14:00:00,Catavi - 115,1.547,2.309,20:00,2024-09-06,14:00:00
2024-09-06 15:00:00,Catavi - 115,1.47,2.309,20:00,2024-09-06,15:00:00
2024-09-06 16:00:00,Catavi - 115,1.444,2.309,20:00,2024-09-06,16:00:00
2024-09-06 17:00:00,Catavi - 115,1.514,2.309,20:00,2024-09-06,17:00:00
2024-09-06 18:00:00,Catavi - 115,1.573,2.309,20:00,2024-09-06,18:00:00
2024-09-06 19:00:00,Catavi - 115,1.754,2.309,20:00,2024-09-06,19:00:00
2024-09-06 20:00:00,Catavi - 115,2.169,2.309,20:00,2024-09-06,20:00:00
2024-09-06 21:00:00,Catavi - 115,2.216,2.309,20:00,2024-09-06,21:00:00
2024-09-06 22:00:00,Catavi - 115,2.023,2.309,20:00,2024-09-06,22:00:00
2024-09-06 23:00:00,Catavi - 115,1.729,2.309,20:00,2024-09-06,23:00:00
2024-09-07 00:00:00,Catavi - 115,1.453,2.309,20:00,2024-09-07,00:00:00
2024-09-07 01:00:00,Catavi - 115,1.342,2.134,20:00,2024-09-07,01:00:00
2024-09-07 02:00:00,Catavi - 115,1.268,2.134,20:00,2024-09-07,02:00:00
2024-09-07 03:00:00,Catavi - 115,1.237,2.134,20:00,2024-09-07,03:00:00
2024-09-07 04:00:00,Catavi - 115,1.206,2.134,20:00,2024-09-07,04:00:00
2024-09-07 05:00:00,Catavi - 115,1.251,2.134,20:00,2024-09-07,05:00:00
2024-09-07 06:00:00,Catavi - 115,1.307,2.134,20:00,2024-09-07,06:00:00
2024-09-07 07:00:00,Catavi - 115,1.377,2.134,20:00,2024-09-07,07:00:00
2024-09-07 08:00:00,Catavi - 115,1.506,2.134,20:00,2024-09-07,08:00:00
2024-09-07 09:00:00,Catavi - 115,1.596,2.134,20:00,2024-09-07,09:00:00
2024-09-07 10:00:00,Catavi - 115,1.79,2.134,20:00,2024-09-07,10:00:00
2024-09-07 11:00:00,Catavi - 115,1.798,2.134,20:00,2024-09-07,11:00:00
2024-09-07 12:00:00,Catavi - 115,1.865,2.134,20:00,2024-09-07,12:00:00
2024-09-07 13:00:00,Catavi - 115,1.601,2.134,20:00,2024-09-07,13:00:00
2024-09-07 14:00:00,Catavi - 115,1.481,2.134,20:00,2024-09-07,14:00:00
2024-09-07 15:00:00,Catavi - 115,1.384,2.134,20:00,2024-09-07,15:00:00
2024-09-07 16:00:00,Catavi - 115,1.305,2.134,20:00,2024-09-07,16:00:00
2024-09-07 17:00:00,Catavi - 115,1.377,2.134,20:00,2024-09-07,17:00:00
2024-09-07 18:00:00,Catavi - 115,1.472,2.134,20:00,2024-09-07,18:00:00
2024-09-07 19:00:00,Catavi - 115,1.816,2.134,20:00,2024-09-07,19:00:00
2024-09-07 20:00:00,Catavi - 115,2.121,2.134,20:00,2024-09-07,20:00:00
2024-09-07 21:00:00,Catavi - 115,2.063,2.134,20:00,2024-09-07,21:00:00
