Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Urubó - 115,7.416,12.092,18:45,2024-09-01,01:00:00
2024-09-01 02:00:00,Urubó - 115,8.766,12.092,18:45,2024-09-01,02:00:00
2024-09-01 03:00:00,Urubó - 115,8.712,12.092,18:45,2024-09-01,03:00:00
2024-09-01 04:00:00,Urubó - 115,8.328,12.092,18:45,2024-09-01,04:00:00
2024-09-01 05:00:00,Urubó - 115,8.062,12.092,18:45,2024-09-01,05:00:00
2024-09-01 06:00:00,Urubó - 115,8.015,12.092,18:45,2024-09-01,06:00:00
2024-09-01 07:00:00,Urubó - 115,7.91,12.092,18:45,2024-09-01,07:00:00
2024-09-01 08:00:00,Urubó - 115,7.978,12.092,18:45,2024-09-01,08:00:00
2024-09-01 09:00:00,Urubó - 115,8.579,12.092,18:45,2024-09-01,09:00:00
2024-09-01 10:00:00,Urubó - 115,9.245,12.092,18:45,2024-09-01,10:00:00
2024-09-01 11:00:00,Urubó - 115,9.818,12.092,18:45,2024-09-01,11:00:00
2024-09-01 12:00:00,Urubó - 115,10.098,12.092,18:45,2024-09-01,12:00:00
2024-09-01 13:00:00,Urubó - 115,10.171,12.092,18:45,2024-09-01,13:00:00
2024-09-01 14:00:00,Urubó - 115,10.326,12.092,18:45,2024-09-01,14:00:00
2024-09-01 15:00:00,Urubó - 115,10.261,12.092,18:45,2024-09-01,15:00:00
2024-09-01 16:00:00,Urubó - 115,10.354,12.092,18:45,2024-09-01,16:00:00
2024-09-01 17:00:00,Urubó - 115,10.31,12.092,18:45,2024-09-01,17:00:00
2024-09-01 18:00:00,Urubó - 115,10.518,12.092,18:45,2024-09-01,18:00:00
2024-09-01 19:00:00,Urubó - 115,11.683,12.092,18:45,2024-09-01,19:00:00
2024-09-01 20:00:00,Urubó - 115,9.165,12.092,18:45,2024-09-01,20:00:00
